microRNA ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC06	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-6771-5p	5,068072833	3,63595478	2,699296833	3,639532967	3,522458334	3,877054436	5,491619772	3,41410806	1,483677258	3,021902211	5,770423355	0,753374841	2,496171035	4,107864404	1,513522973	2,233166829	3,346075047	1,747294593	3,516977972	2,799911031	4,13853392	1,846741942	1,851448184	2,468025378
miR-3176-5p	5,068072833	4,538800536	4,972858447	3,410525371	5,411825675	4,757957903	2,734863065	4,551523076	4,577194853	4,355122067	1,79193098	1,634035282	4,656455861	2,529293619	3,005375485	1,961797351	3,547453714	3,253463564	-1,90150576	2,799911031	2,532690771	4,299246998	4,263016536	4,270781013
miR-1203-5p	5,068072833	-0,477573178	0,867470388	-1,90150576	-1,90150576	0,376338264	0,414185566	2,551744335	-0,537101077	-0,271052264	0,899347526	-1,90150576	0,05019694	-0,461099024	-1,90150576	-0,576145608	0,840695152	-1,90150576	-1,90150576	-0,596046246	-1,90150576	-0,281857139	-0,646379799	1,633556473
miR-432-5p	5,017857817	3,066440397	3,142421391	1,973113146	5,190944251	3,877054436	2,483383875	3,706860006	4,025409839	4,735363067	2,339234027	2,017628997	5,485321296	2,927510564	4,517742646	3,67394532	4,3269616	3,498508946	3,693576221	4,878544504	3,394641635	3,930651309	5,437257943	4,570374172
miR-132-5p	5,017857817	5,572051463	5,754277398	4,854282939	6,385101076	6,719270315	5,309915068	5,684508366	5,837157939	6,380300286	6,157023722	6,272695295	7,232289513	6,090968723	6,10504445	6,186337799	7,125619581	6,742548559	6,94541308	7,174279615	7,229440081	5,815301246	7,555385005	5,978310066
miR-378d-1-3p	5,017857817	6,240500689	5,357687764	3,351421315	5,263534702	7,001164726	6,088844915	7,310955027	6,097290884	8,542930716	6,669487434	9,641486541	4,828744213	5,04810214	6,605893847	7,150504534	5,92368566	6,44046376	6,532000703	6,944290847	6,961150282	5,858251889	8,630566047	4,920259042
miR-4322-3p	5,017857817	2,504344278	3,009284471	1,973113146	2,842870074	3,772159491	5,712785578	6,281864485	4,745321317	2,068678048	4,280834919	2,176918577	2,843450362	2,409831004	3,11714871	1,961797351	3,681951619	1,925489956	3,992734608	5,190082417	5,948676925	2,05371522	4,793779761	2,993303053
miR-7-5p	4,965831773	7,70326888	7,117098834	6,867022762	7,657209469	6,238124718	4,500177005	6,354133686	8,183261073	7,37798064	6,734781353	8,217178352	8,113944229	7,447908182	8,031191464	8,215992387	8,599669418	7,909144778	5,712619814	8,001707069	6,860009347	7,518645221	8,095311714	6,913573304
miR-6843-5p	4,965831773	2,716981167	3,912385217	1,973113146	3,575660967	4,383721454	4,021559607	3,706860006	2,720282932	2,068678048	3,517347819	2,969139761	2,496171035	3,495454081	3,317653347	0,910749604	2,485178305	2,476162758	3,315707397	3,15922201	2,880354285	2,540111717	2,79692598	3,769048239
miR-4741-5p	4,965831773	1,570846101	2,862600452	-1,90150576	2,753344475	4,701945131	5,825440396	3,950110603	2,230606812	2,068678048	2,09138157	0,753374841	3,123141437	3,712946831	2,444259879	1,191001403	1,552549041	2,688606544	3,203458448	2,20181296	1,774537871	4,339344051	2,717728685	3,432699676
miR-4688-3p	4,965831773	-1,90150576	1,757560246	-1,90150576	-1,90150576	0,376338264	-1,90150576	-1,90150576	-0,537101077	-1,90150576	0,899347526	-1,90150576	-0,61808529	-1,90150576	-1,90150576	0,562603914	-0,624874669	0,670647104	-1,90150576	-0,596046246	-1,90150576	-1,90150576	-1,90150576	0,56823556
miR-3663-3p	4,965831773	2,384987291	4,054330584	2,670190213	3,467218364	3,877054436	4,430640616	5,046266354	2,973517917	2,918639487	4,734838412	-1,90150576	2,918618394	2,742098322	2,052681501	1,627275655	3,111954984	1,307157684	3,923557605	2,879289303	2,880354285	0,950294335	2,348655318	3,260478965
